ride_id,datetime,location_start,location_end,distance_km,base_fare,competitor_price,ride_demand,weather_condition,traffic_condition
1,2024-08-01 00:00:00,PointA,PointB,5.2,7.0,8.0,High,Clear,Moderate
2,2024-08-01 01:15:00,PointB,PointC,3.8,7.5,8.5,Medium,Cloudy,Heavy
3,2024-08-01 02:30:00,PointC,PointD,4.3,8.0,9.0,Low,Rainy,Light
4,2024-08-01 03:45:00,PointD,PointE,5.5,8.5,9.5,High,Clear,Moderate
5,2024-08-01 05:00:00,PointE,PointF,3.7,9.0,10.0,Medium,Cloudy,Heavy
6,2024-08-01 06:15:00,PointF,PointG,6.2,9.5,10.5,High,Rainy,Light
7,2024-08-01 07:30:00,PointG,PointH,4.9,10.0,11.0,Low,Clear,Moderate
8,2024-08-01 08:45:00,PointH,PointI,5.8,10.5,11.5,Medium,Cloudy,Heavy
9,2024-08-01 10:00:00,PointI,PointJ,3.8,11.0,12.0,High,Rainy,Light
10,2024-08-01 11:15:00,PointJ,PointK,6.1,11.5,12.5,Low,Clear,Moderate
11,2024-08-01 12:30:00,PointK,PointL,7.0,7.0,8.0,Medium,Cloudy,Heavy
12,2024-08-01 13:45:00,PointL,PointM,6.1,7.5,8.5,High,Rainy,Light
13,2024-08-01 15:00:00,PointM,PointN,2.5,8.0,9.0,Low,Clear,Moderate
14,2024-08-01 16:15:00,PointN,PointO,4.3,8.5,9.5,High,Cloudy,Heavy
15,2024-08-01 17:30:00,PointO,PointP,5.6,9.0,10.0,Medium,Rainy,Light
16,2024-08-01 18:45:00,PointP,PointQ,3.4,9.5,10.5,High,Clear,Moderate
17,2024-08-01 20:00:00,PointQ,PointR,6.8,10.0,11.0,Low,Cloudy,Heavy
18,2024-08-01 21:15:00,PointR,PointS,2.9,10.5,11.5,Medium,Rainy,Light
19,2024-08-01 22:30:00,PointS,PointT,4.7,11.0,12.0,High,Clear,Moderate
20,2024-08-01 23:45:00,PointT,PointU,5.3,11.5,12.5,Low,Cloudy,Heavy
21,2024-08-02 01:00:00,PointA,PointB,3.5,7.0,8.0,Medium,Rainy,Light
22,2024-08-02 02:15:00,PointB,PointC,6.2,7.5,8.5,High,Clear,Moderate
23,2024-08-02 03:30:00,PointC,PointD,4.4,8.0,9.0,Low,Cloudy,Heavy
24,2024-08-02 04:45:00,PointD,PointE,5.9,8.5,9.5,Medium,Rainy,Light
25,2024-08-02 06:00:00,PointE,PointF,3.2,9.0,10.0,High,Clear,Moderate
26,2024-08-02 07:15:00,PointF,PointG,6.5,9.5,10.5,Low,Cloudy,Heavy
27,2024-08-02 08:30:00,PointG,PointH,2.8,10.0,11.0,Medium,Rainy,Light
28,2024-08-02 09:45:00,PointH,PointI,5.4,10.5,11.5,High,Clear,Moderate
29,2024-08-02 11:00:00,PointI,PointJ,3.8,11.0,12.0,Low,Cloudy,Heavy
30,2024-08-02 12:15:00,PointJ,PointK,6.1,11.5,12.5,Medium,Rainy,Light
31,2024-08-02 13:30:00,PointK,PointL,2.7,7.0,8.0,High,Clear,Moderate
32,2024-08-02 14:45:00,PointL,PointM,5.6,7.5,8.5,Low,Cloudy,Heavy
33,2024-08-02 16:00:00,PointM,PointN,4.3,8.0,9.0,Medium,Rainy,Light
34,2024-08-02 17:15:00,PointN,PointO,6.0,8.5,9.5,High,Clear,Moderate
35,2024-08-02 18:30:00,PointO,PointP,2.4,9.0,10.0,Low,Cloudy,Heavy
36,2024-08-02 19:45:00,PointP,PointQ,5.7,9.5,10.5,Medium,Rainy,Light
37,2024-08-02 21:00:00,PointQ,PointR,4.8,10.0,11.0,High,Clear,Moderate
38,2024-08-02 22:15:00,PointR,PointS,7.1,10.5,11.5,Low,Cloudy,Heavy
39,2024-08-02 23:30:00,PointS,PointT,3.6,11.0,12.0,Medium,Rainy,Light
40,2024-08-03 00:45:00,PointT,PointU,6.3,11.5,12.5,High,Clear,Moderate
41,2024-08-03 02:00:00,PointA,PointB,4.1,7.0,8.0,Low,Cloudy,Heavy
42,2024-08-03 03:15:00,PointB,PointC,5.8,7.5,8.5,Medium,Rainy,Light
